trefwoord	homon	bettr	thema	subthema1	POS	hulpthema	jaarrek	bronboek	status	geleend_uit	leenvorm	opmerking	bron
bulbair		m.b.t. het verlengde merg			bijvoeglijk naamwoord		1961		leen	Frans			EWB2
bulbil		loofknop			zelfstandig naamwoord		1976		leen	Latijn			EWB2
bulbus		bol, knol			zelfstandig naamwoord		1832		leen	Latijn			EWB2
buldog		hondensoort	3. dierenrijk	zoogdieren	zelfstandig naamwoord	dieraanduiding huis	1729	WNT woewoe	leen	Engels			CW 2001
bulgur					zelfstandig naamwoord				leen	Turks	bulgur		Leenwoordenboek 2005
bulk		onverpakte lading	19. wetenschap	hoeveelheden	zelfstandig naamwoord	groepsaanduiding	1912	Fokko Bos	leen	Engels			CW 2001
bulkcarrier		vrachtschip voor los gestorte lading	11. scheepvaart	schepen	zelfstandig naamwoord		1968	KWT	leen	Engels			CW 2001
bulldog					zelfstandig naamwoord				leen	Engels			K. Franco e.a. (2018), 'Let’s Agree to Disagree. (Variation in) the Assignment of Gender to Nominal Anglicisms in Dutch', in: Journal of Germanic Linguistics 30.1
bulldozer		grondschuiver	10. voortbewegen	transportmiddel	zelfstandig naamwoord		1950	De Vooys	leen	Engels			CW 2001
bulldyke					zelfstandig naamwoord				leen	Engels	bulldyke		Leenwoordenboek 2005
bullebak		boeman	4. mensenwereld	negatief	zelfstandig naamwoord	persoonsaanduiding	1611-1620	WNT	leen	Nederduits			CW 2001
bullenbijter		hondensoort	3. dierenrijk	zoogdieren	zelfstandig naamwoord	dieraanduiding huis	1862	WNT	leen	Engels			CW 2001
bulletin		kort bericht	21. communicatie	mondeling	zelfstandig naamwoord		1816	WNT verbloemen I	leen	Frans			CW 2001
bullseye					zelfstandig naamwoord				leen	Engels	bull’s eye		Leenwoordenboek 2005
bullshit		onzin	21. communicatie	mondeling	zelfstandig naamwoord		1983	De Coster 1999	leen	Engels			CW 2001
bully		hockeyterm			zelfstandig naamwoord		1938		leen	Engels			EWB2
bulterriër		hondensoort	3. dierenrijk	zoogdieren	zelfstandig naamwoord	dieraanduiding huis	1912	KKU	leen	Engels			CW 2001
bumper		stootrand	10. voortbewegen	voertuigonderdelen	zelfstandig naamwoord		1938	Aanv WNT	leen	Engels			CW 2001
buna		synthetisch rubber			zelfstandig naamwoord		1950		leen	Duits			EWB2
bunder		vlaktemaat	19. wetenschap	eenheden	zelfstandig naamwoord		1101-1200	Tavernier	leen	Latijn			CW 2001
bungalow		vrijstaand huis van één woonlaag	9. sociale leven	straat	zelfstandig naamwoord	gebouw	1863	Sanders 1995	leen	Engels			CW 2001
bungeejumpen		van een hoog object springen aan een elastisch koord	22. sport+spel	buitensport	zelfstandig naamwoord		1993	De Coster 1999	leen	Engels			CW 2001
bunk		slaapplaats in schip of trein			zelfstandig naamwoord		1912		leen	Engels			EWB2
bunker		verdedigingsstelling	14. leger		zelfstandig naamwoord	gebouw	1940-1945	Nieuwe Taalgids 38, 163ff	leen	Duits			CW 2001
bunny		serveerster in nachtclub	13. werk+industrie	beroepen	zelfstandig naamwoord	persoonsaanduiding	1989	Peptalk	leen	Engels			CW 2001
bunraku		Japans poppenspel			zelfstandig naamwoord		1992		leen	Japans			EWB2
buntal		vezelstof van de waaierpalm			zelfstandig naamwoord		1816		leen	Tagalog			EWB2
bureau	a	schrijftafel	9. sociale leven	meubels	zelfstandig naamwoord		1793-1796	WNT	leen	Frans			CW 2001
bureaucratie		heerschappij van de ambtenaren	15. overheid	systeem	zelfstandig naamwoord		1847	KKU	leen	Frans			CW 2001
bureel					zelfstandig naamwoord				leen	Frans	burel		Leenwoordenboek 2005
buret		maatglas			zelfstandig naamwoord		1929		leen	Frans			EWB2
burger		inwoner van stad, lid van een staat	4. mensenwereld	neutraal	zelfstandig naamwoord	persoonsaanduiding	1240	Bern.	leen	Duits			CW 2001
burgerrecht					zelfstandig naamwoord				leen	Duits	Bürgerrecht		Leenwoordenboek 2005
burijn		graveerijzer			zelfstandig naamwoord		1824		leen	Frans			EWB2
