trefwoord	homon	bettr	thema	subthema1	POS	hulpthema	jaarrek	bronboek	status	geleend_uit	leenvorm	opmerking	bron
reconciliëren		verzoenen			werkwoord		1370-1378		leen	Frans			EWB2
reconfronteren		nogmaals tegen elkaar horen			werkwoord		1824		leen	Frans			EWB2
Reconquista		de herovering van Spanje op de Moren, 718-1492			zelfstandig naamwoord		1961		leen	Spaans			EWB2
reconstructie		wederopbouw	19. wetenschap		zelfstandig naamwoord		1853	WNT	leen	Frans			CW 2001
reconvalescent		herstellend			bijvoeglijk naamwoord		1788		leen	Frans			EWB2
reconventie		tegeneis			zelfstandig naamwoord		1506		leen	Frans			EWB2
record		beste prestatie	22. sport+spel		zelfstandig naamwoord		1889	Het Sportblad 1:1, 6 jun. 14b	leen	Frans			CW 2001
recorder		toestel voor weergave van geluid	21. communicatie	toestellen	zelfstandig naamwoord		1897	Aanv WNT	leen	Engels			CW 2001
recours		toevlucht			zelfstandig naamwoord		1510		leen	Frans			EWB2
recovery room					zelfstandig naamwoord				leen	Engels	recovery room		Leenwoordenboek 2005
recreatie		ontspanning	22. sport+spel		zelfstandig naamwoord		1451-1500	MNW	leen	Frans			CW 2001
recredentie		voorlopige toewijzing			zelfstandig naamwoord		1573		leen	Latijn			EWB2
recreëren		zich ontspannen	22. sport+spel		werkwoord		1540	WNT	leen	Frans		huidige bet	CW 2001
recriminatie		tegeneis			zelfstandig naamwoord		1848		leen	Frans			EWB2
recrudescentie		verergering van ziekte na verbetering			zelfstandig naamwoord		1847		leen	Frans			EWB2
rectie		beheersing (taalkunde)			zelfstandig naamwoord		1847		leen	Latijn			EWB2
rectificatie					zelfstandig naamwoord				leen	Frans	rectification		Leenwoordenboek 2005
rectificeren		rechtzetten	21. communicatie	schriftelijk	werkwoord		1553	WNT	leen	Latijn			CW 2001
recto		bijwoord: op de voorkant van het blad	20. taalkunde		bijwoord		1824	WNT	leen	Latijn			CW 2001
rector		hoofd van een klooster of een onderwijsinrichting	8. religie		zelfstandig naamwoord	persoonsaanduiding	1320	MNW	leen	Latijn			CW 2001
rectrice					zelfstandig naamwoord				leen	Frans	rectrice		Leenwoordenboek 2005
rectrix					zelfstandig naamwoord				leen	Latijn	rectrix		Leenwoordenboek 2005
rectum		endeldarm	4. mensenwereld	lichaamsdelen	zelfstandig naamwoord		1777	WNT	leen	Latijn			CW 2001
reçu		ontvangstbewijs	12. handel	betalen	zelfstandig naamwoord		1808	WNT	leen	Frans			CW 2001
recueil		verzameling, uittreksel			zelfstandig naamwoord		1569		leen	Frans		2 bet. oplossen	EWB2
reculeren		terugwijken, terugstoten van vuurwapens			werkwoord		1626		leen	Frans		2 bet. oplossen	EWB2
recupereren		terugwinnen, herstellen	15. overheid	ambtelijke taal	werkwoord		1400	MNW	leen	Frans			CW 2001
recurreren		teruglopen			werkwoord		1553		leen	Latijn			EWB2
recursief		teruglopend, omkeerbaar			bijvoeglijk naamwoord		1984		leen	Frans			EWB2
recuseren		verwerpen			werkwoord		1553		leen	Frans			EWB2
recyclen					werkwoord				leen	Engels	to recycle		Leenwoordenboek 2005
recycling		het terugwinnen uit afval	13. werk+industrie		zelfstandig naamwoord		1974	Posthumus	leen	Engels			CW 2001
red tape					zelfstandig naamwoord				leen	Engels	red tape		Leenwoordenboek 2005
redacteur					zelfstandig naamwoord				leen	Frans	rédacteur		Leenwoordenboek 2005
redactie		het opstellen van een stuk, de inkleding	21. communicatie	media	zelfstandig naamwoord		1796	WNT	leen	Frans		huidige bet	CW 2001
redemptorist		monnik van de orde van de Allerheiligste Verlosser	8. religie		zelfstandig naamwoord	persoonsaanduiding	1880	WNT	leen	Frans			CW 2001
redenaar		iem. die een rede houdt	15. overheid		zelfstandig naamwoord	persoonsaanduiding	1599	Kil.	leen	Duits		huidige bet	CW 2001
rederijker					zelfstandig naamwoord				leen	Frans	rhétorique		Leenwoordenboek 2005
rederijkerskamer					zelfstandig naamwoord				leen	Frans	chambre de rhétorique		Leenwoordenboek 2005
redhibitie		vernietiging van koop			zelfstandig naamwoord		1573		leen	Frans			EWB2
redigeren		in goede vorm op schrift krijgen	17. letterkunde	uitgeven	werkwoord		1520	WNT	leen	Frans			CW 2001
redingote		soort jas			zelfstandig naamwoord		1807		leen	Frans			EWB2
reditie		herhaling			zelfstandig naamwoord		1642		leen	Latijn			EWB2
redivivus		herleefd			zelfstandig naamwoord		1824		leen	Latijn			EWB2
redondilla		dichtvorm			zelfstandig naamwoord		1847		leen	Spaans			EWB2
redoutabel		geducht			bijvoeglijk naamwoord		1605		leen	Frans			EWB2
redoute		schans			zelfstandig naamwoord		1601		leen	Frans			EWB2
redres		herstel			zelfstandig naamwoord		1581		leen	Frans			EWB2
reduceren		terugbrengen	19. wetenschap		werkwoord		1504	HWS	leen	Latijn			CW 2001
reductie		vermindering	19. wetenschap		zelfstandig naamwoord		1504	HWS	leen	Frans		huidige bet	CW 2001
reduit		vluchtschans			zelfstandig naamwoord		1622		leen	Frans			EWB2
redundant		meer dan nodig	15. overheid	ambtelijke taal	bijvoeglijk naamwoord		1973	Aanv WNT	leen	Engels			CW 2001
redunderen		neerkomen op, ten laste/bate komen van			werkwoord		1503		leen	Frans			EWB2
reduplicatie		verdubbeling			zelfstandig naamwoord		1846		leen	Frans			EWB2
reëel		werkelijk	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1732	WNT	leen	Frans		huidige bet	CW 2001
reefer		stickie			zelfstandig naamwoord		1970		leen	Engels			EWB2
reel		molen van een hengel	22. sport+spel		zelfstandig naamwoord		1950	GVD	leen	Engels			CW 2001
refectorium		eetzaal in klooster			zelfstandig naamwoord		1732		leen	Latijn			EWB2
referaat		voordracht	9. sociale leven	onderwijs	zelfstandig naamwoord		1824	WEI	leen	Duits			CW 2001
reféré		kort geding			zelfstandig naamwoord		1911		leen	Frans			EWB2
referee		scheidsrechter	22. sport+spel		zelfstandig naamwoord	persoonsaanduiding	1912	KKU	leen	Engels			CW 2001
referendaris		hoofdambtenaar			zelfstandig naamwoord		1573		leen	Latijn			EWB2
referendum		(volks)stemming	15. overheid		zelfstandig naamwoord		1892	WNT	leen	Latijn			CW 2001
referent		die een referaat houdt	9. sociale leven	onderwijs	zelfstandig naamwoord	persoonsaanduiding	1832	WEI	leen	Duits			CW 2001
refereren		verwijzen	19. wetenschap		werkwoord		1503	WNT	leen	Frans			CW 2001
referte		verwijzing	15. overheid	ambtelijke taal	zelfstandig naamwoord		1798	WNT post	leen	Latijn			CW 2001
reflecteren		terugkaatsen	19. wetenschap	natuurwetenschappen	werkwoord		1627	WNT verdichten I	leen	Latijn			CW 2001
reflector					zelfstandig naamwoord				leen	Latijn	reflector		Leenwoordenboek 2005
reflex	a	onwillekeurige reactie; weerschijn	19. wetenschap	medisch	zelfstandig naamwoord		1860	WNT	leen	Frans			CW 2001
reflexief		wederkerend	20. taalkunde	overig	bijvoeglijk naamwoord		1846	WNT	leen	Duits			CW 2001
reformateur					zelfstandig naamwoord				leen	Frans	réformateur		Leenwoordenboek 2005
reformatie		kerkhervorming	8. religie	hervorming	zelfstandig naamwoord		1595	WNT	leen	Latijn		huidige bet	CW 2001
reformator					zelfstandig naamwoord				leen	Latijn	reformator		Leenwoordenboek 2005
reformkleding		kleding overeenkomstig de reformbeweging	9. sociale leven	kleding	zelfstandig naamwoord		1902	WNT	leen	Duits			CW 2001
refouleren		verdringen			werkwoord		1946		leen	Frans			EWB2
refractair		onprikkelbaar			bijvoeglijk naamwoord		1920		leen	Frans			EWB2
refractie		straalbreking	19. wetenschap	natuurk. proces	zelfstandig naamwoord		1658	WNT	leen	Frans			CW 2001
refractoir		straalbrekend			bijvoeglijk naamwoord		1961		leen	Frans			EWB2
refractor		verrekijker			zelfstandig naamwoord		1856		leen	Latijn			EWB2
refrein		gelijke woorden aan eind van ieder couplet	17. letterkunde	poëzie	zelfstandig naamwoord		1448	Mak	leen	Frans			CW 2001
refrigerator		koelapparaat			zelfstandig naamwoord		1847		leen	Engels			EWB2
refter		eetzaal in klooster	8. religie		zelfstandig naamwoord	gebouw	1236	CG I1, 28	leen	Latijn			CW 2001
refuge		wijkplaats			zelfstandig naamwoord		1600		leen	Frans			EWB2
refugié		vluchteling	15. overheid		zelfstandig naamwoord	persoonsaanduiding	1690	WNT	leen	Frans			CW 2001
refusenik					zelfstandig naamwoord				leen	Engels	refusenik		Leenwoordenboek 2005
refuseren		weigeren			werkwoord		1350		leen	Frans			EWB2
refuteren		weerleggen			werkwoord		1325		leen	Frans			EWB2
refuus		weigering			zelfstandig naamwoord		1350		leen	Frans			EWB2
regaal	2	koninklijk	15. overheid		bijvoeglijk naamwoord		1521	WNT	leen	Frans			CW 2001
regaleren		onthalen			werkwoord		1701		leen	Frans			EWB2
regalia		koninklijke voorrechten			zelfstandig naamwoord		1547		leen	Latijn			EWB2
regarderen		aangaan			werkwoord		1470		leen	Frans			EWB2
regatta		roeiwedstrijd	22. sport+spel	buitensport	zelfstandig naamwoord		1702	WNT	leen	Engels			CW 2001
regel	a	lijn; gewoonte	21. communicatie	schriftelijk	zelfstandig naamwoord		1236	CG I1, 20	leen	Latijn			CW 2001
regelatie		herbevriezing			zelfstandig naamwoord		1876		leen	Frans			EWB2
regelen		schikken, inrichten	15. overheid	ambtelijke taal	werkwoord		1522	WNT	leen	Frans			CW 2001
regelmatig		met vast ritme	7. tijd		bijvoeglijk naamwoord		1661	WNT	leen	Duits			CW 2001
régence		regentschap			zelfstandig naamwoord		1700		leen	Frans			EWB2
regenereren		weer in de oorspronkelijke toestand terugbrengen			werkwoord		1553		leen	Frans			EWB2
regent		bestuurder	15. overheid		zelfstandig naamwoord	persoonsaanduiding	1440	MNW	leen	Frans			CW 2001
regeren		besturen	15. overheid	ambtelijke taal	werkwoord		1322	Moors 271, 44	leen	Latijn			CW 2001
regest		boek met oorkonden			zelfstandig naamwoord		1832		leen	Latijn			EWB2
reggae		moderne muziek van Jamaicaanse afkomst	18. muziek	muzieksoort	zelfstandig naamwoord		1982	R84	leen	Engels			CW 2001
regie		leiding	16. kunst	acteren	zelfstandig naamwoord		1767	WNT	leen	Frans			CW 2001
regime		staatsbestel	15. overheid		zelfstandig naamwoord	groepsaanduiding	1820	WNT	leen	Frans			CW 2001
regiment		militaire eenheid	14. leger		zelfstandig naamwoord	groepsaanduiding	1591	WNT	leen	Frans			CW 2001
regio		gebied	19. wetenschap	geografie	zelfstandig naamwoord		1933	Kath. Enc.	leen	Latijn			CW 2001
regionaal		m.b.t. een regio	19. wetenschap	geografie	bijvoeglijk naamwoord		1922	WNT	leen	Frans			CW 2001
regionair		behorend tot een bepaald gebied			bijvoeglijk naamwoord		1936		leen	Frans			EWB2
regionalisme		het cultiveren van streektradities	19. wetenschap	geografie	zelfstandig naamwoord		1943	WNT	leen	Frans			CW 2001
regiorunner					zelfstandig naamwoord				pseudo-ontlening	pseudo-Engels			Leenwoordenboek 2005
regisseur		artistiek leider	16. kunst	acteren	zelfstandig naamwoord	persoonsaanduiding	1824	WNT	leen	Frans			CW 2001
regisseuse					zelfstandig naamwoord				leen	Frans	régisseuse		Leenwoordenboek 2005
register		lijst	17. letterkunde	uitgeven	zelfstandig naamwoord		1397	Moors 151, 37	leen	Latijn			CW 2001
registreren					werkwoord				leen	Frans	regestrer		Leenwoordenboek 2005
reglement		geheel van bepalingen	15. overheid	justitie	zelfstandig naamwoord		1516	WNT	leen	Frans			CW 2001
reglet		liniaal			zelfstandig naamwoord		1544		leen	Frans			EWB2
regres		verhaalrecht			zelfstandig naamwoord		1549		leen	Latijn			EWB2
regressie		teruggang	12. handel		zelfstandig naamwoord		1898	WNT	leen	Frans			CW 2001
regretteren		betreuren			werkwoord		1481		leen	Frans			EWB2
regula		lijstje			zelfstandig naamwoord		1955		leen	Latijn			EWB2
regulair		geregeld			bijvoeglijk naamwoord		1668		leen	Frans			EWB2
regulator		regelaar	13. werk+industrie	apparaten	zelfstandig naamwoord		1832	WNT	leen	Latijn			CW 2001
reguleren		regelmatig maken	15. overheid	ambtelijke taal	werkwoord		1451	HWS	leen	Latijn			CW 2001
regulier		geregeld	7. tijd		bijvoeglijk naamwoord		1669	WNT	leen	Frans		huidige bet	CW 2001
regulus		ster die in de Leeuw staat, metaal zonder vreemde bestanddelen			zelfstandig naamwoord		1652		leen	Latijn		2 bet oplossen	EWB2
regurgitatie		oprisping			zelfstandig naamwoord		1824		leen	Frans			EWB2
rehabilitatie					zelfstandig naamwoord				leen	Frans	réhabilitation		Leenwoordenboek 2005
rehabiliteren		herstellen, zuiveren	15. overheid	ambtelijke taal	werkwoord		1503	WNT	leen	Frans			CW 2001
rei	1	reidans	16. kunst	dans	zelfstandig naamwoord		1360	MNW	leen	Frans			CW 2001
reiki					zelfstandig naamwoord				leen	Japans	reiki		Leenwoordenboek 2005
reine		koningin			zelfstandig naamwoord		1784		leen	Frans			EWB2
reine-claude		soort pruim	2. plantenrijk	vruchten	zelfstandig naamwoord		1763	WNT	leen	Frans			CW 2001
reinette		appel	plantenrijk	vruchten	zelfstandig naamwoord		1656		leen	Frans		als variant bij renet gezet	EWB2
reis	3	munteenheid van Portugal en Brazilië	12. handel	muntnamen	zelfstandig naamwoord		1596	WNT	leen	Portugees			CW 2001
reïtereren		herhalen			werkwoord		1503		leen	Frans			EWB2
reiziger		die reist	10. voortbewegen		zelfstandig naamwoord	persoonsaanduiding	1599	Kil.	leen	Duits		huidige bet	CW 2001
rejecteren		niet-ontvankelijk verklaren			werkwoord		1501-1525		leen	Latijn			EWB2
rekel	b	deugniet; mannetjeshond	4. mensenwereld	negatief	zelfstandig naamwoord	persoonsaanduiding	1552	WNT	leen	Nederduits			CW 2001
rekest		verzoekschrift	15. overheid	ambtelijke taal	zelfstandig naamwoord		1456	HWS	leen	Frans			CW 2001
rekke		vrouwelijke ree			zelfstandig naamwoord		1857		leen	Duits			EWB2
rekruteren		in dienst roepen	14. leger		werkwoord		1668	WNT recruteeren	leen	Frans			CW 2001
rekwireren		vorderen	15. overheid	justitie	werkwoord		1518	HWS	leen	Frans			CW 2001
rekwisiet		benodigdheid	16. kunst	acteren	zelfstandig naamwoord		1508	WNT	leen	Latijn			CW 2001
rekwisitie		vordering	12. handel		zelfstandig naamwoord		1522	WNT	leen	Frans			CW 2001
relaas					zelfstandig naamwoord				leen	Frans	relation		Leenwoordenboek 2005
relâche		tijdelijke onderbreking			zelfstandig naamwoord		1725		leen	Frans			EWB2
relais		tussenstation voor elektrische stroom	13. werk+industrie	apparaten	zelfstandig naamwoord		1853	WNT	leen	Frans		huidige bet	CW 2001
relance		opleving			zelfstandig naamwoord		1984		leen	Frans			EWB2
relaps		terugval			zelfstandig naamwoord		1920		leen	Frans			EWB2
relateren		in verband brengen	19. wetenschap		werkwoord		1510	WNT	leen	Frans			CW 2001
relatie		betrekking	4. mensenwereld	familie	zelfstandig naamwoord		1568	WNT	leen	Frans			CW 2001
relatief		in verband met, betrekking hebbend op	19. wetenschap		bijvoeglijk naamwoord		1598	WNT	leen	Latijn			CW 2001
relativiteit		betrekkelijkheid	19. wetenschap		zelfstandig naamwoord		1847	WNT	leen	Frans			CW 2001
relativum		betrekkelijk voornaamwoord			zelfstandig naamwoord		1584		leen	Latijn			EWB2
relax					zelfstandig naamwoord				leen	Engels	to relax		Leenwoordenboek 2005
relaxatie		ontspanning van spieren	19. wetenschap	medisch	zelfstandig naamwoord		1366	MNW	leen	Latijn			CW 2001
relaxed					bijvoeglijk naamwoord				leen	Engels	relaxed		Leenwoordenboek 2005
relaxen		zich ontspannen	22. sport+spel		werkwoord		1958	Carmiggelt, Kraaltjes rijgen	leen	Engels			CW 2001
relayeren		paarden wisselen, heruitzenden			werkwoord		1809		leen	Frans			EWB2
release		het opnieuw uitbrengen	18. muziek		zelfstandig naamwoord		1965	R75	leen	Engels			CW 2001
relegatie		verbanning			zelfstandig naamwoord		1669		leen	Frans			EWB2
releveren		ontheffen, doen uitkomen	15. overheid	ambtelijke taal	werkwoord		1464	HWS	leen	Frans			CW 2001
releveur		sorteerder in glasfabriek			zelfstandig naamwoord		1961		leen	Frans			EWB2
relict		overblijfsel	19. wetenschap		zelfstandig naamwoord		1832	WEI	leen	Latijn			CW 2001
relief		verlichting			zelfstandig naamwoord		1663		leen	Engels			EWB2
reliëf		het verheven-zijn van een voorstelling	16. kunst	beeldende kunst	zelfstandig naamwoord		1659	WNT	leen	Frans			CW 2001
reliek		overblijfsel van heilige	8. religie		zelfstandig naamwoord		1516	WNT	leen	Frans			CW 2001
religie		godsdienst	8. religie		zelfstandig naamwoord		1480	MNW	leen	Latijn			CW 2001
religieus					bijvoeglijk naamwoord				leen	Frans	religieux		Leenwoordenboek 2005
religiositeit		godsdienstigheid			zelfstandig naamwoord		1824		leen	Frans			EWB2
relikwie		overblijfsel van heilige	8. religie		zelfstandig naamwoord		1265-1270	CG Lut.K	leen	Latijn			CW 2001
reling		leuning	11. scheepvaart	scheepsonderdelen	zelfstandig naamwoord		1856	WNT	leen	Engels			CW 2001
relipop		religieuze popmuziek	18. muziek	muzieksoort	zelfstandig naamwoord		1984	R84	leen	Engels			CW 2001
reliquiarium		reliekhouder			zelfstandig naamwoord		1862		leen	Latijn			EWB2
relueren		(een pand) lossen			werkwoord		1824		leen	Latijn			EWB2
remake		nieuwe versie van bv. een plaat	18. muziek		zelfstandig naamwoord		1956	R75	leen	Engels			CW 2001
remanent		dat blijft			zelfstandig naamwoord		1295		leen	Latijn			EWB2
remarqueren		opmerken			werkwoord		1601		leen	Frans			EWB2
rembetika					zelfstandig naamwoord				leen	modern Grieks	rembetika		Leenwoordenboek 2005
remblai		op te werpen grond			zelfstandig naamwoord		1898		leen	Frans			EWB2
rembours		verrekenpakket	12. handel	betalen	zelfstandig naamwoord		1734	WNT	leen	Duits			CW 2001
remedie		geneesmiddel	19. wetenschap	geneesmiddelen	zelfstandig naamwoord		1375	MNW	leen	Latijn			CW 2001
remigratie		terugkeer van emigratie	19. wetenschap	geografie	zelfstandig naamwoord		1952	WNT	leen	Engels			CW 2001
reminiscentie		herinnering			zelfstandig naamwoord		1668		leen	Frans			EWB2
remise	1	stalling voor  voertuig	10. voortbewegen		zelfstandig naamwoord	gebouw	1771	WNT	leen	Frans		huidige bet	CW 2001
remisier		hoekman			zelfstandig naamwoord		1910		leen	Frans			EWB2
remissie		strafvermindering			zelfstandig naamwoord		1454		leen	Frans			EWB2
remitteren		geld overmaken			werkwoord		1370-1378		leen	Latijn			EWB2
remonstrans		monstrans			zelfstandig naamwoord		1515		leen	Frans			EWB2
remonstrant		lid van protestants kerkgenootschap	8. religie	hervorming	zelfstandig naamwoord	persoonsaanduiding	1618	Courante uyt Italien, 23 nov.	leen	Latijn		huidige bet + leen	CW 2001
remontant		wederom bloeiend			bijvoeglijk naamwoord		1858		leen	Frans			EWB2
remonte		jaarlijkse aanvulling van legerpaarden			zelfstandig naamwoord		1692		leen	Frans			EWB2
remonteren		meer dan eens per jaar bloeien of vrucht dragen			werkwoord		1653		leen	Frans			EWB2
remontoir		horloge dat wordt opgewonden zonder sleutel			zelfstandig naamwoord		1876		leen	Frans		huidige bet	EWB2
remora		zuigvis			zelfstandig naamwoord		1584		leen	Frans			EWB2
remotie		verwijdering			zelfstandig naamwoord		1625		leen	Latijn		huidige bet	EWB2
remous		beweging in luchtlaag	19. wetenschap	geografie	zelfstandig naamwoord		1911	WNT	leen	Frans			CW 2001
removeren		wegruimen			werkwoord		1553		leen	Latijn			EWB2
remplaceren		vervangen			werkwoord		1651		leen	Frans			EWB2
remslaap		fase in de slaap waarin men droomt	19. wetenschap	medisch	zelfstandig naamwoord		1984	GVD	leen	Engels			CW 2001
remuneratie		beloning			zelfstandig naamwoord		1513		leen	Frans			EWB2
renaal		m.b.t. de nieren			bijvoeglijk naamwoord		1908		leen	Latijn			EWB2
Renaissance		stijlvernieuwing	16. kunst	stijl	zelfstandig naamwoord		1844	WNT	leen	Frans			CW 2001
rencontre		ontmoeting			zelfstandig naamwoord		1588		leen	Frans			EWB2
rendabel		winst opleverend	12. handel		bijvoeglijk naamwoord		1906	WNT	leen	Frans			CW 2001
rendang		rundvleesgerecht met kokos	6. consumptie	gerechten	zelfstandig naamwoord		1992	GVD	leen	Maleis			CW 2001
rendant		rentmeester			zelfstandig naamwoord		1571		leen	Frans			EWB2
rendement		opbrengst	12. handel	betalen	zelfstandig naamwoord		1721	WNT	leen	Frans			CW 2001
renderen		winst opleveren	12. handel		werkwoord		1638	WNT	leen	Frans			CW 2001
rendez-vous		afgesproken samenkomst	21. communicatie	mondeling	zelfstandig naamwoord		1581	WNT	leen	Frans			CW 2001
rendier		herkauwer	3. dierenrijk	zoogdieren	zelfstandig naamwoord	dieraanduiding wild	1714	WNT	leen	Duits			CW 2001
renegaat		afvallige	4. mensenwereld	negatief	zelfstandig naamwoord	persoonsaanduiding	1598	WNT	leen	Latijn			CW 2001
renet	2	schraapmes van hoefsmid			zelfstandig naamwoord		1734		leen	Frans			EWB2
renet, reinette	1	appel	2. plantenrijk	vruchten	zelfstandig naamwoord		1656	WNT renet I	leen	Frans			CW 2001
reneweren					werkwoord				leen	Frans	ruiner		Leenwoordenboek 2005
renforcé		katoenen weefsel			zelfstandig naamwoord		1886		leen	Frans			EWB2
renforceren		versterken			werkwoord		1573		leen	Frans			EWB2
renium		chemisch element	19. wetenschap	chem. elementen	zelfstandig naamwoord		1950	GVD	leen	Latijn			CW 2001
renminbi yuan		Chinese munt	12. handel	muntnamen	zelfstandig naamwoord		1984		leen	Chinees			EWB2
rennine		lebenzym			zelfstandig naamwoord		1992		leen	Engels			EWB2
renommee		vermaardheid			zelfstandig naamwoord		1525		leen	Frans			EWB2
renommeren		bluffen			werkwoord		1720		leen	Frans			EWB2
renonceren		afstand doen van			werkwoord		1524		leen	Frans			EWB2
renoveren		vernieuwen	16. kunst	bouwkunst	werkwoord		1522	WNT	leen	Frans			CW 2001
renseignement		inlichting			zelfstandig naamwoord		1843		leen	Frans			EWB2
rentabiliteit		winstgevendheid	12. handel		zelfstandig naamwoord		1847	WNT	leen	Frans			CW 2001
rente		interest	12. handel	betalen	zelfstandig naamwoord		1230-1231	CG I1, 19	leen	Frans			CW 2001
rentjong		gebogen dolk			zelfstandig naamwoord		1899		leen	Maleis			EWB2
rentree		herintrede	22. sport+spel		zelfstandig naamwoord		1913	WNT	leen	Frans			CW 2001
renunciëren		afzien van			werkwoord		1284		leen	Latijn			EWB2
renvers		wending van paard			zelfstandig naamwoord		1841		leen	Frans			EWB2
renversaal		tegenakte			zelfstandig naamwoord		1581		leen	Frans			EWB2
renversé		omslag bij zwachtelverband			zelfstandig naamwoord		1920		leen	Frans			EWB2
renvooi		verwijzing	15. overheid	ambtelijke taal	zelfstandig naamwoord		1548	HWS	leen	Frans			CW 2001
repa					zelfstandig naamwoord				leen	Papiaments	repa		Leenwoordenboek 2005
reparatuur		reparatie			zelfstandig naamwoord		1847		leen	Duits			EWB2
repareren		herstellen	13. werk+industrie		werkwoord		1520	WNT	leen	Frans		huidige bet	CW 2001
reparteren		verdelen			werkwoord		1589		leen	Frans			EWB2
repartie		snedig antwoord			zelfstandig naamwoord		1866		leen	Frans			EWB2
repartitie		verdeling naar de kosten			zelfstandig naamwoord		1579		leen	Frans			EWB2
repasseren		nog eens nalopen			werkwoord		1482		leen	Frans			EWB2
repatriëren		naar zijn vaderland terugkeren	14. leger		werkwoord		1639	WNT	leen	Frans			CW 2001
repentir		verandering op schilderij			zelfstandig naamwoord		1984		leen	Frans			EWB2
repercussie		onaangenaam gevolg	15. overheid	ambtelijke taal	zelfstandig naamwoord		1947	WNT	leen	Frans		huidige bet	CW 2001
repertoire		lijst van stukken van kunstenaar(s)	18. muziek		zelfstandig naamwoord		1823	WNT	leen	Frans		huidige bet	CW 2001
repertorium		register	17. letterkunde	uitgeven	zelfstandig naamwoord		1623	WNT	leen	Latijn			CW 2001
repeteren		herhalen	18. muziek		werkwoord		1437	MNW	leen	Frans			CW 2001
repetitie	b	herhaling	15. overheid	ambtelijke taal	zelfstandig naamwoord		1458	HWS	leen	Frans			CW 2001
repetitio		herhaling			bijwoord		1777		leen	Latijn			EWB2
repetitor		die met studenten de leerstof doorneemt	9. sociale leven	onderwijs	zelfstandig naamwoord	persoonsaanduiding	1786	WNT	leen	Latijn			CW 2001
replay		opnieuw gespeelde wedstrijd	22. sport+spel		zelfstandig naamwoord		1979	Wijnands&Ost	leen	Engels			CW 2001
repletie		zwaarlijvigheid			zelfstandig naamwoord		1669		leen	Frans			EWB2
repli		(leger)hulppost waarop een deel van het leger zich kan terugtrekken			zelfstandig naamwoord		1865		leen	Frans			EWB2
replica		kopie	16. kunst	beeldende kunst	zelfstandig naamwoord		1951	WNT	leen	Italiaans		huidige bet	CW 2001
repliceren		antwoorden	21. communicatie	mondeling	werkwoord		1370-1378	HWS	leen	Latijn			CW 2001
repliek		antwoord	21. communicatie	mondeling	zelfstandig naamwoord		1411	HWS	leen	Frans			CW 2001
repliëren		zich terugtrekken			werkwoord		1799		leen	Frans			EWB2
reponeren		weer op zijn plaats brengen			werkwoord		1553		leen	Latijn			EWB2
reporter		verslaggever	21. communicatie	media	zelfstandig naamwoord	persoonsaanduiding	1847	KKU	leen	Engels			CW 2001
reporteren		uitstellen van een tijdaffaire			werkwoord		1910		leen	Frans			EWB2
repositie		het weer op zijn plaats terugbrengen			zelfstandig naamwoord		1734		leen	Frans			EWB2
repositorium		rustplaats			zelfstandig naamwoord		1553		leen	Latijn			EWB2
repousseren		terugdrijven			werkwoord		1581		leen	Frans			EWB2
repoussoir		iets dat het perspectief beter doet uitkomen			zelfstandig naamwoord		1847		leen	Frans			EWB2
represaille		vergeldingsmaatregel	15. overheid	justitie	zelfstandig naamwoord		1486	HWS	leen	Frans			CW 2001
representant		vertegenwoordiger	4. mensenwereld	neutraal	zelfstandig naamwoord	persoonsaanduiding	1657	WNT	leen	Frans			CW 2001
repressie		onderdrukking	15. overheid	ambtelijke taal	zelfstandig naamwoord		1553	WNT verhouding	leen	Frans			CW 2001
reprimande		uitbrander	21. communicatie	mondeling	zelfstandig naamwoord		1604	WNT	leen	Frans			CW 2001
reprise		herhaling	16. kunst	toneelonderdeel	zelfstandig naamwoord		1824	WNT	leen	Frans			CW 2001
reprobatie		afkeuring			zelfstandig naamwoord		1611		leen	Frans			EWB2
reprocheren		verwijten			werkwoord		1503		leen	Frans			EWB2
reproduceren		weer voortbrengen	9. sociale leven	onderwijs	werkwoord		1814	WNT	leen	Latijn		huidige bet	CW 2001
reprouveren		afkeuren			werkwoord		1650		leen	Frans			EWB2
reptiel		kruipend dier	3. dierenrijk	reptielen	zelfstandig naamwoord	dieraanduiding	1777	WNT	leen	Frans			CW 2001
republiek		bepaalde staatsvorm	15. overheid		zelfstandig naamwoord		1582	WNT	leen	Frans		huidige bet	CW 2001
republikein		aanhanger van de republiek	15. overheid		zelfstandig naamwoord	persoonsaanduiding	1710	WNT	leen	Frans			CW 2001
repudiatie		verwerping			zelfstandig naamwoord		1635		leen	Frans			EWB2
repugnant		weerzinwekkend			bijvoeglijk naamwoord		1548		leen	Frans			EWB2
repulsie		afwijzing			zelfstandig naamwoord		1553		leen	Frans			EWB2
reputatie		faam	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1529	HWS	leen	Frans			CW 2001
requiem		dodenmis	18. muziek	muzieksoort	zelfstandig naamwoord		1510	WNT	leen	Latijn			CW 2001
requisitoir		eis, betoog	15. overheid	justitie	zelfstandig naamwoord		1548	WNT	leen	Frans			CW 2001
res		zaak			zelfstandig naamwoord		1805		leen	Latijn			EWB2
rescissie		ongeldigverklaring			zelfstandig naamwoord		1572		leen	Latijn			EWB2
